gmap_id,name,address,description,latitude,longitude,category,avg_rating,num_of_reviews,price,hours,MISC,state,relative_results,url
10699989882,Happy Fortune Chinese Restaurant,Rossville Avenue 1022,Sin descripción,40.5516727,-74.2123748,['restaurant'],,,,,"{'cuisine': 'chinese', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
10699989884,Pino's Pizzeria & Restaurant,Rossville Avenue 1026,Sin descripción,40.5517229,-74.2121269,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
10753321260,Mama Mia Pizzeria & Cucina,Desconocida,Sin descripción,40.5507734,-74.2106828,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
1708709547,Woodrow Diner,Rossville Avenue 655,Sin descripción,40.5429027,-74.206653,['restaurant'],,,,"Mo-Th 07:00-22:00; Fr,Sa 07:00-23:00; Su 07:00-21:00","{'cuisine': 'american', 'wheelchair': 'yes', 'takeaway': None, 'delivery': None, 'website': 'https://www.woodrowdinersi.com/'}",NY,,https://www.woodrowdinersi.com/
1708713022,Goodfella's Pizzeria,Desconocida,Sin descripción,40.5426,-74.2061865,['restaurant'],,,,,"{'cuisine': 'pizza', 'wheelchair': 'yes', 'takeaway': None, 'delivery': None, 'website': 'http://goodfellasrossville.com/'}",,,http://goodfellasrossville.com/
1708724065,Sunset Pizza Restaurant,Rossville Avenue 645,Sin descripción,40.5427566,-74.2077917,['restaurant'],,,,11:00-21:45,"{'cuisine': 'pizza', 'wheelchair': 'yes', 'takeaway': None, 'delivery': None, 'website': 'http://www.sunsetpizza.net/'}",NY,,http://www.sunsetpizza.net/
1708725500,Islander Taste Chinese Restaurant,Desconocida,Sin descripción,40.542787,-74.2076918,['restaurant'],,,,,"{'cuisine': 'chinese', 'wheelchair': 'yes', 'takeaway': None, 'delivery': None, 'website': None}",,,
1708727865,Pio Hot Bagels,Desconocida,Sin descripción,40.5429119,-74.2067548,['restaurant'],,,,,"{'cuisine': 'coffee_shop;breakfast;lunch;bagel', 'wheelchair': 'yes', 'takeaway': None, 'delivery': None, 'website': None}",,,
7797500145,Misaki Sushi,Desconocida,Sin descripción,40.5428275,-74.2075587,['restaurant'],,,,,"{'cuisine': 'sushi', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
7797500151,EatItalian,Desconocida,Sin descripción,40.5428933,-74.2072222,['restaurant'],,,,,"{'cuisine': 'italian', 'wheelchair': None, 'takeaway': None, 'delivery': None, 'website': None}",,,
1708709547,Woodrow Diner,Rossville Avenue 655,Sin descripción,40.5429027,-74.206653,['restaurant'],,,,"Mo-Th 07:00-22:00; Fr,Sa 07:00-23:00; Su 07:00-21:00","{'cuisine': 'american', 'wheelchair': 'yes', 'takeaway': None, 'delivery': None, 'website': 'https://www.woodrowdinersi.com/'}",NY,,https://www.woodrowdinersi.com/
